Country Name,Export
Argentina,0
Bahrain,884
Belgium,1136
Brazil,1223
Brunei Darussalam,0
Cambodia,0
Canada,1405
Chile,279
China,75401
Fiji,331
Finland,0
France,1090
Germany,1604
Greece,0
Hong Kong,9135
India,9748
Indonesia,2831
Ireland,0
Italy,715
Japan,44454
South Korea,18776
Kuwait,0
Laos,0
Luxembourg,6
Malaysia,2942
Mexico,472
Myanmar,0
Netherlands,2361
New Zealand,8299
Norway,0
Oman,456
Papua New Guinea,2002
Peru,53
Philippines,1638
Qatar,0
Russian Federation,0
Saudi Arabia,2110
Singapore,4067
South Africa,1301
Spain,0
Sweden,0
Switzerland,0
Taiwan,6869
Thailand,5010
Türkiye,190
United Arab Emirates,1568
United Kingdom,3682
United States of America,13356
Vietnam,3269
